mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate_init,param_model__hidden_layer_sizes,param_model__early_stopping,param_model__batch_size,param_model__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.647785484790802,0.18643495222976156,0.004629015922546387,0.0004117818278326014,0.003,"(128,)",True,32,0.0001,"{'model__learning_rate_init': 0.003, 'model__hidden_layer_sizes': (128,), 'model__early_stopping': True, 'model__batch_size': 32, 'model__alpha': 0.0001}",0.3933361405814783,0.3370799531361597,0.3534608262944568,0.3398197328182842,0.35592416320759473,0.0224732118930079,11
0.532127320766449,0.3087318982196181,0.004251837730407715,0.00043463322791569003,0.003,"(128,)",True,64,0.001,"{'model__learning_rate_init': 0.003, 'model__hidden_layer_sizes': (128,), 'model__early_stopping': True, 'model__batch_size': 64, 'model__alpha': 0.001}",0.36292333667304616,0.3764192271669839,0.37319956346505023,0.2948185603020978,0.3518401719017945,0.03329660003834886,17
0.6726057529449463,0.38501752043689164,0.004756450653076172,0.00024306929070061741,0.003,"(128, 64)",True,128,0.01,"{'model__learning_rate_init': 0.003, 'model__hidden_layer_sizes': (128, 64), 'model__early_stopping': True, 'model__batch_size': 128, 'model__alpha': 0.01}",0.38307267899608227,0.3640139253970407,0.33132134059337376,0.30742399668101483,0.3464579854168779,0.029161691941786007,26
0.6823139190673828,0.281322368220917,0.004252314567565918,0.0004318893333763897,0.0005,"(128,)",True,32,0.001,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (128,), 'model__early_stopping': True, 'model__batch_size': 32, 'model__alpha': 0.001}",0.33858350028515033,0.38435923465847727,0.38556226756696294,0.3978793851972611,0.3765960969269629,0.02257539803876011,2
0.6643909215927124,0.3249004274306347,0.0049326419830322266,0.000463003049022121,0.003,"(128, 64)",True,128,0.0001,"{'model__learning_rate_init': 0.003, 'model__hidden_layer_sizes': (128, 64), 'model__early_stopping': True, 'model__batch_size': 128, 'model__alpha': 0.0001}",0.3790393908957272,0.3651831443508062,0.32566932343595134,0.29256910140381237,0.3406152400215743,0.03395515112685978,32
0.5750064849853516,0.30271753340532986,0.003998935222625732,1.3207507017946445e-06,0.001,"(128,)",True,64,0.0001,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (128,), 'model__early_stopping': True, 'model__batch_size': 64, 'model__alpha': 0.0001}",0.33968860018842667,0.3937855997817115,0.37293298576974726,0.3034122064485682,0.3524548480471134,0.034262745595204876,15
1.0866312980651855,0.4664473477554376,0.003250420093536377,0.0012992310368799942,0.0005,"(64, 32)",True,32,0.01,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (64, 32), 'model__early_stopping': True, 'model__batch_size': 32, 'model__alpha': 0.01}",0.3225136578946457,0.3487153882377461,0.3684962062495624,0.2828230167712434,0.3306370672882994,0.032063660498545365,40
0.7800024151802063,0.22145115715032487,0.004273056983947754,0.0012810628999890081,0.001,"(128, 64)",True,128,0.0001,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (128, 64), 'model__early_stopping': True, 'model__batch_size': 128, 'model__alpha': 0.0001}",0.3688410427382323,0.37516223782898006,0.36539663660705046,0.29484236395363433,0.3510605702819743,0.03264599937115928,19
0.5299697518348694,0.2932653546915562,0.003249824047088623,0.0012990701742143806,0.0005,"(64, 32)",True,128,0.001,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (64, 32), 'model__early_stopping': True, 'model__batch_size': 128, 'model__alpha': 0.001}",0.2825025154608705,0.35943290413129847,0.3659582050550967,0.281109428235697,0.32225076322074064,0.040513530822207384,48
0.7530502080917358,0.23964084189726226,0.002000153064727783,6.82206341162896e-07,0.001,"(64, 32)",True,32,0.0001,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (64, 32), 'model__early_stopping': True, 'model__batch_size': 32, 'model__alpha': 0.0001}",0.36745221265824063,0.3497299545409924,0.3725265038615049,0.3017301500266761,0.3478597052718535,0.0279452634528405,24
